ID;LIMIT_BAL;SEX;EDUCATION;MARRIAGE;AGE;PAY_0;PAY_2;PAY_3;PAY_4;PAY_5;PAY_6;BILL_AMT1;BILL_AMT2;BILL_AMT3;BILL_AMT4;BILL_AMT5;BILL_AMT6;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default payment next month;LIM_BAL_1;LIM_BAL_2;LIM_BAL_3;SEX_1;SEX_2;EDUCATION_1;EDUCATION_2;EDUCATION_3;EDUCATION_4;EDUCATION_5;EDUCATION_6;EDUCATION_7;MARRIAGE_1;MARRIAGE_2;MARRIAGE_3;MARRIAGE_4;AGE_1;AGE_2;AGE_3;PAY_0_1;PAY_0_2;PAY_0_3;PAY_2_1;PAY_2_2;PAY_2_3;PAY_3_1;PAY_3_2;PAY_3_3;PAY_4_1;PAY_4_2;PAY_4_3;PAY_5_1;PAY_5_2;PAY_5_3;PAY_6_1;PAY_6_2;PAY_6_3;BILL_AMT1_1;BILL_AMT1_2;BILL_AMT1_3;BILL_AMT2_1;BILL_AMT2_2;BILL_AMT2_3;BILL_AMT3_1;BILL_AMT3_2;BILL_AMT3_3;BILL_AMT4_1;BILL_AMT4_2;BILL_AMT4_3;BILL_AMT5_1;BILL_AMT5_2;BILL_AMT5_3;BILL_AMT6_1;BILL_AMT6_2;BILL_AMT6_3;PAY_AMT1_1;PAY_AMT1_2;PAY_AMT1_3;PAY_AMT2_1;PAY_AMT2_2;PAY_AMT2_3;PAY_AMT3_1;PAY_AMT3_2;PAY_AMT3_3;PAY_AMT4_1;PAY_AMT4_2;PAY_AMT4_3;PAY_AMT5_1;PAY_AMT5_2;PAY_AMT5_3;PAY_AMT6_1;PAY_AMT6_2;PAY_AMT6_3
11;200000;2;3;2;34;0;0;2;0;0;-1;11073;9787;5535;2513;1828;3731;2306;12;50;300;3738;66;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0
12;260000;2;1;2;51;-1;-1;-1;-1;-1;2;12261;21670;9966;8517;22287;13668;21818;9966;8583;22301;0;3640;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1
18;320000;1;1;1;49;0;0;0;-1;-1;-1;253286;246536;194663;70074;5856;195599;10358;10000;75940;20000;195599;50000;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1
20;180000;2;1;2;29;1;-2;-2;-2;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0
28;50000;2;3;2;30;0;0;0;0;0;0;22541;16138;17163;17878;18931;19617;1300;1300;1000;1500;1000;1012;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0
35;500000;1;1;1;58;-2;-2;-2;-2;-2;-2;13709;5006;31130;3180;0;5293;5006;31178;3180;0;5293;768;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0
56;500000;2;1;1;45;-2;-2;-2;-2;-2;-2;1905;3640;162;0;151;2530;3640;162;0;151;2530;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0
70;20000;1;5;2;22;2;0;0;0;0;0;18565;17204;17285;18085;11205;5982;0;1200;1000;500;1000;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0
78;300000;2;1;1;45;-1;-1;-1;-1;-1;-1;291;291;291;291;291;291;291;291;291;291;291;291;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0
81;470000;2;3;3;33;0;0;0;0;0;0;165254;157784;162702;69923;29271;29889;6400;7566;3000;960;1000;3000;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1
